PR URL,PR Title,PR createdAt,PR mergedAt,PR state,stars,fork,collaborators,language
https://github.com/vxcontrol/pentagi/pull/20,Add Function Tester (ftester) utility and integrate DuckDuckGo and Perplexity search engines,2025-03-26T21:34:24Z,2025-03-26T21:52:26Z,MERGED,310,False,4,Go
https://github.com/vllm-project/vllm/pull/8588,[Misc] Support FP8 MoE for compressed-tensors,2024-09-19T00:59:24Z,2024-09-25T16:43:36Z,MERGED,47848,False,100,Python
https://github.com/vllm-project/vllm/pull/7527,[Kernel]  Expand MoE weight loading + Add Fused Marlin MoE Kernel,2024-08-14T17:44:42Z,2024-08-21T23:17:10Z,MERGED,47848,False,100,Python
https://github.com/vllm-project/vllm/pull/2453,DeepseekMoE support with Fused MoE kernel,2024-01-16T11:47:12Z,2024-01-30T05:19:48Z,MERGED,47848,False,100,Python
https://github.com/vllm-project/vllm/pull/17850,[Feature]Add support for models quantized with AutoRound,2025-05-08T10:27:42Z,2025-05-19T16:38:53Z,MERGED,47848,False,100,Python
https://github.com/vllm-project/vllm/pull/13972,[Kernel] CUTLASS grouped gemm fp8 MoE kernel,2025-02-27T15:52:58Z,2025-03-27T00:54:44Z,MERGED,47848,False,100,Python
https://github.com/vllm-project/vllm/pull/12755,[Model][Speculative Decoding] DeepSeek MTP spec decode,2025-02-04T23:58:11Z,2025-02-19T09:06:23Z,MERGED,47848,False,100,Python
https://github.com/vllm-project/vllm-ascend/pull/694,[Disaggregated Prefill] P2P Disaggregated Prefill based on llm_datadist,2025-04-28T03:21:49Z,2025-05-01T14:31:36Z,MERGED,666,False,44,Python
https://github.com/vllm-project/vllm-ascend/pull/636,[MTP] follow custom deepseek modeling changes to support graph mode,2025-04-23T10:45:44Z,2025-04-28T13:18:53Z,MERGED,666,False,44,Python
https://github.com/theodoreniu/llmperf/pull/2,Dev,2025-02-22T15:23:11Z,2025-02-22T15:23:18Z,MERGED,1,False,3,Python
https://github.com/tenstorrent/tt-metal/pull/18478,Move Llama3 codebase to TT-Transformer,2025-02-28T10:05:12Z,2025-03-10T15:24:43Z,MERGED,865,False,100,C++
https://github.com/tensorzero/tensorzero/pull/1320,Add 'signature' field to Thought content block,2025-03-13T14:11:12Z,2025-03-17T16:41:30Z,MERGED,4258,False,45,Rust
