PR URL,PR Title,PR createdAt,PR mergedAt,PR state,stars,fork,collaborators,language
https://github.com/sgl-project/sglang/pull/5552,[Fix]: support deepseek-vl2-tiny model,2025-04-19T13:15:13Z,2025-04-26T09:52:54Z,MERGED,14561,False,100,Python
https://github.com/sgl-project/sglang/pull/3888,[Feature] DeepSeek V3/R1 INT8 Quantization (channel-wise) ,2025-02-26T10:54:39Z,2025-03-07T04:54:52Z,MERGED,14561,False,100,Python
https://github.com/sgl-project/sglang/pull/3730,Feature DeepSeek V3/R1 INT8 Quantization (block-wise),2025-02-20T10:48:04Z,2025-02-24T13:43:36Z,MERGED,14561,False,100,Python
https://github.com/openvinotoolkit/openvino_tokenizers/pull/411,"Fix Skips Detection For CharsMap, Special Tokens Detection",2025-02-07T10:18:29Z,2025-02-08T14:04:39Z,MERGED,34,False,24,Python
https://github.com/ggml-org/llama.cpp/pull/7193,fix : lookup word in vocab before doing BPE merges,2024-05-10T08:04:27Z,2024-05-11T08:12:06Z,MERGED,80699,False,100,C++
https://github.com/NVIDIA/TensorRT-LLM/pull/3115,refactor:[AutoDeploy] Enhance RoPE support,2025-03-26T21:11:07Z,2025-04-11T15:51:24Z,MERGED,10533,False,100,C++
https://github.com/NVIDIA/Fuser/pull/4494,Test row parallel linear layers.,2025-05-21T20:49:34Z,2025-05-22T02:24:36Z,MERGED,327,False,28,C++
https://github.com/InternLM/lmdeploy/pull/1310,add chat template for deepseek coder model,2024-03-19T12:37:38Z,2024-03-20T07:02:16Z,MERGED,6391,False,100,Python
https://github.com/DevXT-LLC/ezlocalai/pull/32,Add DeepSeek VLM Support,2024-03-18T13:04:34Z,2024-03-19T03:35:32Z,MERGED,84,False,4,Jupyter Notebook
https://github.com/BitMind-AI/bitmind-subnet/pull/149,Release 2.1.4,2025-02-06T22:47:36Z,2025-02-07T01:02:54Z,MERGED,32,False,8,Python
https://github.com/Aleph-Alpha/intelligence-layer-sdk/pull/1234,build(deps): bump huggingface-hub from 0.27.1 to 0.28.1,2025-01-30T20:14:52Z,2025-02-07T14:36:32Z,MERGED,72,False,33,Python
https://github.com/AI-Hypercomputer/maxtext/pull/1746,Add tokenizer's chat template to SFT,2025-05-15T18:42:45Z,2025-05-21T18:14:29Z,MERGED,1728,False,100,Python
https://github.com/AI-Hypercomputer/maxtext/pull/1537,Generate dataset for distillation,2025-04-07T23:48:03Z,2025-04-28T20:29:54Z,MERGED,1728,False,100,Python
