PR URL,stars,collaborators,language
https://github.com/zauberzeug/nicegui/pull/2272,8016,100,Python
https://github.com/xtdb/xtdb/pull/3021,2477,18,Clojure
https://github.com/whatwg/html-build/pull/291,60,22,HTML
https://github.com/vrodriguezf/deepvats/pull/123,22,7,Jupyter Notebook
https://github.com/unoplatform/workshops/pull/128,96,39,C#
https://github.com/unity-atoms/unity-atoms/pull/448,1176,30,C#
https://github.com/ubiquity/devpool-directory/pull/1062,18,13,TypeScript
https://github.com/torrust/torrust-index-gui/pull/185,29,13,Vue
https://github.com/tinygrad/tinygrad/pull/1661,24810,100,Python
https://github.com/temporalio/temporal/pull/4558,10450,100,Go
https://github.com/swoosh/swoosh/pull/870,1425,100,Elixir
https://github.com/sveltejs/learn.svelte.dev/pull/522,466,100,Svelte
https://github.com/supabase/supabase/pull/21827,67769,100,TypeScript
https://github.com/starknet-id/app.starknet.id/pull/766,47,9,TypeScript
https://github.com/skrub-data/skrub/pull/581,1035,43,Python
https://github.com/sindresorhus/type-fest/pull/701,13490,100,TypeScript
https://github.com/simonw/llm/pull/400,3303,19,Python
https://github.com/sign-language-processing/sign-language-processing.github.io/pull/38,96,5,TeX
https://github.com/sign-language-processing/sign-language-processing.github.io/pull/37,96,5,TeX
https://github.com/shakacode/shakapacker/pull/430,396,100,Ruby
https://github.com/sCrypt-Inc/scryptTS-docs/pull/209,10,13,MDX
https://github.com/robotology/icub-models-generator/pull/252,14,26,C++
https://github.com/roboflow/supervision/pull/177,16672,71,Python
https://github.com/reworkd/AgentGPT/pull/897,30429,70,TypeScript
https://github.com/rapidsai/cuspatial/pull/1295,576,57,Jupyter Notebook
https://github.com/pwncollege/dojo/pull/219,261,21,Python
https://github.com/pollen-robotics/rustypot/pull/50,16,8,Rust
https://github.com/pokt-network/poktroll/pull/338,15,9,Go
https://github.com/poki/netlib/pull/50,29,8,TypeScript
https://github.com/plausible/analytics/pull/3905,18833,100,Elixir
https://github.com/pass-culture/pass-culture-main/pull/9227,136,100,Python
https://github.com/pass-culture/pass-culture-app-native/pull/5423,60,78,TypeScript
https://github.com/ory/elements/pull/171,83,27,TypeScript
https://github.com/opensearch-project/opensearch-migrations/pull/297,31,18,Java
https://github.com/open-learning-exchange/myplanet/pull/2234,23,36,Kotlin
https://github.com/open-learning-exchange/myplanet/pull/2232,23,36,Kotlin
https://github.com/open-learning-exchange/myplanet/pull/2231,23,36,Kotlin
https://github.com/open-learning-exchange/myplanet/pull/2230,23,36,Kotlin
https://github.com/open-learning-exchange/myplanet/pull/2229,23,36,Kotlin
https://github.com/nylas/nylas-python/pull/279,100,50,Python
https://github.com/nishiki-tech/nishiki-frontend/pull/271,10,10,TypeScript
https://github.com/nishiki-tech/nishiki-frontend/pull/223,10,10,TypeScript
https://github.com/nishiki-tech/nishiki-frontend/pull/184,10,10,TypeScript
https://github.com/nickbabcock/OhmGraphite/pull/379,394,10,C#
https://github.com/netdata/netdata/pull/15485,68831,100,C
https://github.com/netdata/netdata/pull/15455,68831,100,C
https://github.com/mlflow/mlflow/pull/9991,17743,100,Python
https://github.com/mdn/content/pull/30321,8934,100,Markdown
https://github.com/mdn/content/pull/27070,8934,100,Markdown
https://github.com/maybe-finance/maybe/pull/228,27862,54,Ruby
https://github.com/linexjlin/GPTs/pull/48,27076,33,
https://github.com/linexjlin/GPTs/pull/41,27076,33,
https://github.com/lfortran/lfortran/pull/2446,892,84,C++
https://github.com/ldez/tagliatelle/pull/22,46,7,Go
https://github.com/lcompilers/lpython/pull/2323,1364,77,C++
https://github.com/lamalab-org/chem-bench/pull/93,36,12,Jupyter Notebook
https://github.com/lamalab-org/chem-bench/pull/59,36,12,Jupyter Notebook
https://github.com/kolibril13/ipyMolecularNodes/pull/1,51,2,Jupyter Notebook
https://github.com/jxnl/instructor/pull/186,6271,100,Python
https://github.com/joke2k/faker/pull/1988,17266,100,Python
https://github.com/jhipster/generator-jhipster/pull/22429,21292,100,TypeScript
https://github.com/hacktoberfestkorea/hacktoberfestkorea/pull/241,70,100,HTML
