Repo URL,stars,collaborators,language
https://github.com/zauberzeug/nicegui,8016,100,Python
https://github.com/xtdb/xtdb,2477,18,Clojure
https://github.com/whatwg/html-build,60,22,HTML
https://github.com/vrodriguezf/deepvats,22,7,Jupyter Notebook
https://github.com/unoplatform/workshops,96,39,C#
https://github.com/unity-atoms/unity-atoms,1176,30,C#
https://github.com/ubiquity/devpool-directory,18,13,TypeScript
https://github.com/torrust/torrust-index-gui,29,13,Vue
https://github.com/tinygrad/tinygrad,24810,100,Python
https://github.com/temporalio/temporal,10450,100,Go
https://github.com/swoosh/swoosh,1425,100,Elixir
https://github.com/sveltejs/learn.svelte.dev,466,100,Svelte
https://github.com/supabase/supabase,67769,100,TypeScript
https://github.com/starknet-id/app.starknet.id,47,9,TypeScript
https://github.com/skrub-data/skrub,1035,43,Python
https://github.com/sindresorhus/type-fest,13490,100,TypeScript
https://github.com/simonw/llm,3303,19,Python
https://github.com/sign-language-processing/sign-language-processing.github.io,96,5,TeX
https://github.com/shakacode/shakapacker,396,100,Ruby
https://github.com/sCrypt-Inc/scryptTS-docs,10,13,MDX
https://github.com/robotology/icub-models-generator,14,26,C++
https://github.com/roboflow/supervision,16672,71,Python
https://github.com/reworkd/AgentGPT,30429,70,TypeScript
https://github.com/rapidsai/cuspatial,576,57,Jupyter Notebook
https://github.com/pwncollege/dojo,261,21,Python
https://github.com/pollen-robotics/rustypot,16,8,Rust
https://github.com/pokt-network/poktroll,15,9,Go
https://github.com/poki/netlib,29,8,TypeScript
https://github.com/plausible/analytics,18833,100,Elixir
https://github.com/pass-culture/pass-culture-main,136,100,Python
https://github.com/pass-culture/pass-culture-app-native,60,78,TypeScript
https://github.com/ory/elements,83,27,TypeScript
https://github.com/opensearch-project/opensearch-migrations,31,18,Java
https://github.com/open-learning-exchange/myplanet,23,36,Kotlin
https://github.com/nylas/nylas-python,100,50,Python
https://github.com/nishiki-tech/nishiki-frontend,10,10,TypeScript
https://github.com/nickbabcock/OhmGraphite,394,10,C#
https://github.com/netdata/netdata,68831,100,C
https://github.com/mlflow/mlflow,17743,100,Python
https://github.com/mdn/content,8934,100,Markdown
https://github.com/maybe-finance/maybe,27862,54,Ruby
https://github.com/linexjlin/GPTs,27076,33,
https://github.com/lfortran/lfortran,892,84,C++
https://github.com/ldez/tagliatelle,46,7,Go
https://github.com/lcompilers/lpython,1364,77,C++
